id	type	ListingDate	PriceLabel	SoldDate	SoldPrice	Beds	Baths	Cars	EER	PlotSize	Agency.Name	Slug
63387	Townhouse	2022-08-31	Auction	2022-09-24	Undisclosed	4	2	2	2.0	600.0	Luton Manuka	15-130-shackleton-circuit-mawson-act-2607
63388	House	2022-08-31	$849,950	2022-10-11	$850,000	4	1	2	1.0	913.0	LJ Hooker Belconnen	6-poole-place-latham-act-2615
63389	House	2022-08-31	$759,000+	2022-09-26	$760,000	3	1	2	0.5		Stone Gungahlin	4-flowerdale-place-kaleen-act-2617
63393	House	2022-08-31	Auction	2022-09-17	$730,000	3	1	1	1.5	706.0	LJ Hooker Belconnen	7-horsley-crescent-melba-act-2615
63394	House	2022-08-31	$730,000 - $770,000	2022-09-19	$770,000	3	3	4		556.0	My Agent Team	4-wallarah-street-surfside-nsw-2536
63396	House	2022-08-31	$1,500,000	2022-10-07	$1,485,000	4	2	2	4.5	897.0	Luton Gungahlin	66-temperley-street-nicholls-act-2913
63398	House	2022-08-31	Auction 24/09/2022	2022-09-24	Undisclosed	3	2	2	3.5	769.0	Ray White Canberra	8-arid-place-palmerston-act-2913
63399	Apartment	2022-08-31	Offers over $419,000.-	2023-01-18	$425,000	1	1	1	6.0	0.0	IQ Real Estate	10-20-beissel-street-belconnen-act-2617
63400	House	2022-08-31	$1,150,000 - $1,200,000	2022-09-21	Undisclosed	4	2	2	6.0	473.0	New Door Properties	5-bellhouse-crescent-moncrieff-act-2914
63401	House	2022-08-31	$699,000	2022-09-16	$680,000	4	2	2		1003.0	PRD Wagga Wagga	25-tamar-drive-tatton-nsw-2650
63402	Apartment	2022-08-31	Contact Agent	2022-08-29	$1,548,800	3	2	2			Raine & Horne Southern Highlands	3a-444-moss-vale-road-bowral-nsw-2576
63407	Unit	2022-08-31	445,000	2023-01-09	Undisclosed	2	1	1			Merimbula Realty	4-1-wonga-street-merimbula-nsw-2548
63408	Land	2022-08-31	$350,000	2023-07-24	$335,000	0	0	0		1.9	McGrath Batemans Bay & Moruya	lot-33-clyde-view-drive-long-beach-nsw-2536
63410	Apartment	2022-08-31	By Negotiation	2022-09-15	$400,000	1	1	1	6.0		Impact Properties	75-235-flemington-road-franklin-act-2913
63411	Unit	2022-08-31	$175,000 - $185,000	2022-10-18	$188,000	1	1	1			LJ Hooker Queanbeyan – Jerrabomberra – Googong	10-22-carrington-street-queanbeyan-east-nsw-2620
63412	House	2022-08-31	Auction	2022-09-05	$1,553,333	5	3	4	5.5	450.0	Luton Gungahlin	6-fullston-way-holt-act-2615
63415	DuplexSemi-detached	2022-08-31	$799,000	2023-02-06	$780,000	4	3	2			Whale Coast Realty	66b-warbler-crescent-north-narooma-nsw-2546
63417	House	2022-08-31	$695,000 - $745,000	2023-06-02	Undisclosed	4	2	2		646.0	PRD Wagga Wagga	19-churchill-avenue-kooringal-nsw-2650
63420	House	2022-08-31	Price Guide $2,100,000	2022-11-24	Undisclosed	4	3	2			Merimbula Realty	3-rebecca-place-tura-beach-nsw-2548
63425	House	2022-08-31	$990,000 Price Guide	2022-10-07	$1,085,000	4	3	3		808.0	Dwyer Properties Sapphire Coast	13-seaview-avenue-merimbula-nsw-2548
63427	Apartment	2022-08-31	$435,000	2022-11-03	$435,000	1	1	1	6.0	3757.0	New Door Properties	164-39-benjamin-way-belconnen-act-2617
63429	Apartment	2022-08-31	Contact Agent	2022-10-24	$550,000	2	1	1			Smile Elite	2-26-keira-street-wollongong-nsw-2500
63430	House	2022-09-01	Auction	2022-09-24	Undisclosed	4	2	2	2.5	938.0	Luton Weston Creek & Molonglo Valley	39-willoughby-crescent-gilmore-act-2905
63431	House	2022-09-01	Auction	2022-09-24	Undisclosed	4	2	2	3.0	776.0	Luton Weston Creek & Molonglo Valley	41-williamson-street-holder-act-2611
63432	Townhouse	2022-09-01	Auction	2022-09-21	$675,000	3	2	2			Luton Weston Creek & Molonglo Valley	4-3-homestead-gardens-jerrabomberra-nsw-2619
63433	House	2022-09-01	$960,000+	2023-01-12	Undisclosed	4	2	2	2.5	947.0	Solely Properties	9-conlon-crescent-theodore-act-2905
63434	Apartment	2022-09-01	$702,000	2022-11-02	$702,000	2	2	2	6.0		home.by holly	69-115-canberra-avenue-griffith-act-2603
63435	House	2022-09-01	$775,000 - $795,000	2022-09-26	$775,000	3	1	3		778.0	Bella Coastal Property	21-brace-close-kioloa-nsw-2539
63437	Townhouse	2022-09-01	$699,000	2022-11-08	$699,000	3	2	2	6.0		home.by holly	39-1-hoffmann-street-moncrieff-act-2914
63440	House	2022-09-01	Price Guide $1,500,000	2023-05-11	$1,400,000	4	2	2		1042.0	Sails Real Estate	4-jabiru-place-merimbula-nsw-2548
63441	House	2022-09-01	In Room AUCTION	2022-09-29	Undisclosed	3	2	2		613.0	Ray White Queanbeyan | Jerrabomberra	24-glebe-ave-queanbeyan-nsw-2620
63442	House	2022-09-01	$699,000	2023-01-27	$615,000	3	2	1		739.8	Ray White Batemans Bay	25-pleasurelea-drive-sunshine-bay-nsw-2536
63444	House	2022-09-01	Auction	2022-09-22	$742,500	3	1	4	0.5	837.0	My Morris	6-lacey-place-kambah-act-2902
63447	House	2022-09-01	$609,000	2022-10-04	Undisclosed	3	2	2		814.0	PRD Wagga Wagga	30-yarrawah-crescent-bourkelands-nsw-2650
63450	DuplexSemi-detached	2022-09-01	By Negotiation	2022-10-14	$820,000	2	1	1	5.0	247.0	Maloney's Property	51-groom-street-hughes-act-2605
63451	House	2022-09-01	Auction 17/09/2022	2022-09-17	Undisclosed	4	2	2	4.5	978.0	Ray White Canberra	57-jaeger-circuit-bruce-act-2617
63453	House	2022-09-01	Under Offer	2023-03-01	$1,725,000	5	1	2		721.0	Bella Coastal Property	13-islander-avenue-bawley-point-nsw-2539
63454	House	2022-09-01	$1,465,000.00	2022-09-30	$1,465,000	3	2	2		2700.0	LJ Hooker Tuross Head	47-trafalgar-road-tuross-head-nsw-2537
63455	Livestock	2022-09-01	EOI	2022-10-24	Undisclosed	4	0	0		733.0	LAWD	talbragar-bogolara-road-bookham-nsw-2582
63456	Apartment	2022-09-01	$579,000+	2022-09-28	$580,000	2	2	2	6.0		LJ Hooker Canberra City	705-6-gribble-street-gungahlin-act-2912
63457	House	2022-09-01	Auction 24/09/2022	2022-09-24	Undisclosed	5	3	2	2.0	974.0	Ray White Canberra	29-shumack-street-weetangera-act-2614
63458	Townhouse	2022-09-01	Auction	2022-09-26	Undisclosed	3	2	2	4.0		Luton Dickson	14-29-thynne-street-bruce-act-2617
63459	House	2022-09-01	Auction	2022-09-28	$735,000	3	1	1	3.5	372.0	LJ Hooker Kippax	55-wolstenholme-street-chisholm-act-2905
63460	House	2022-09-01	Auction 29/09/2022	2022-09-29	$840,000	3	2	1	2.0	1067.0	Ray White Canberra	24-le-gallienne-street-melba-act-2615
63464	Lifestyle	2022-09-01	$495,000	2022-11-01	$475,000	0	0	0		48.0	Ray White Braidwood	16-woods-lane-oallen-nsw-2622
63465	Townhouse	2022-09-01	AUCTION	2022-09-24	Undisclosed	3	2	2	4.5	436.0	McIntyre Property	38-67-barraclough-crescent-monash-act-2904
63470	House	2022-09-01	$1,460,000 - $1,560,000	2023-01-20	$1,530,000	6	2	5		2433.0	Ray White Bungendore	19-lithgow-place-bungendore-nsw-2621
63472	House	2022-09-01	$1,250,000+	2022-11-03	$1,205,000	4	2	2	3.5	431.0	LJ Hooker Kaleen	14-goldman-street-bruce-act-2617
63477	House	2022-09-01	Contact agent	2022-10-18	Undisclosed	4	3	2	1.5		home.by holly	15-andrews-street-watson-act-2602
63481	House	2022-09-01	$1,100,000+	2022-10-24	Undisclosed	4	2	2	2.0	928.0	LJ Hooker Tuggeranong	12-lucy-gullett-circuit-chisholm-act-2905
63483	AcreageSemi-rural	2022-09-01	Contact Agent	2022-09-23	Undisclosed	5	2	4		4.54	Smile Elite	560-woollamia-road-woollamia-nsw-2540
63484	House	2022-09-01	$780,000	2022-10-07	$785,000	4	2	2		1606.0	Ray White Bungendore	8-goulburn-street-tarago-nsw-2580
63486	House	2022-09-01	Contact agent	2022-11-04	Undisclosed	3	2	2	1.0	1002.0	home.by holly	38-tallara-parkway-narrabundah-act-2604
63490	House	2022-09-01	Auction 15/09/2022	2022-09-15	Undisclosed	3	1	1	3.5	480.0	Ray White Canberra	93-hugh-mckay-crescent-dunlop-act-2615
63491	Unit	2022-09-01	$650,000+	2022-10-12	$685,000	3	2	2	6.0	0.0	Wright Dunn Real Estate	34-17-helemon-street-braddon-act-2612
63493	House	2022-09-01	Auction	2022-09-24	Undisclosed	3	1	2	2.0	1290.0	Luton Tuggeranong	10-rowallan-place-duffy-act-2611
63497	House	2022-09-01	Auction 24/09/2022	2022-09-24	Undisclosed	4	2	3	1.5	713.0	Ray White Canberra	21-laycock-place-holt-act-2615
63499	House	2022-09-01	$1,190,000	2022-09-26	$1,190,000	4	2	3	4.5	529.0	MARQ Property	359-gundaroo-drive-gungahlin-act-2912
63500	House	2022-09-01	$1,500,000	2022-10-05	$1,500,000	4	2	2	4.5	539.0	MARQ Property	97-drooka-crescent-crace-act-2911
63501	Apartment	2022-09-01	$610,000+	2022-09-09	$650,000	3	2	1	6.0		LJ Hooker Canberra City	37-15-bowman-street-macquarie-act-2614
63502	Townhouse	2022-09-01	$600,000+	2022-11-12	$608,000	2	2	1	5.0		LJ Hooker Dickson	32-2-pipeclay-street-lawson-act-2617
63503	House	2022-09-01	$719,000	2022-11-09	$700,000	3	1	1		841.0	LJ Hooker Gungahlin	7-pollux-street-yass-nsw-2582
63504	House	2022-09-01	Auction	2022-09-24	$1,860,000	4	2	1	3.0	746.0	LJ Hooker Woden/Weston	14-glasgow-street-hughes-act-2605
63506	AcreageSemi-rural	2022-09-01	$2,300,000	2022-10-21	$2,200,000	6	3	10		8.0	Ray White Bungendore	410-macs-reef-road-bywong-nsw-2621
63507	Apartment	2022-09-01	Offers over $399,000	2022-10-05	Undisclosed	2	1	1	4.5		LJ Hooker Manuka	16-10-wilkins-street-mawson-act-2607
63509	House	2022-09-01	$895,000	2022-11-18	Undisclosed	3	2	1		204.84	PRD Wagga Wagga	12-7-sturt-street-wagga-wagga-nsw-2650
63510	House	2022-09-01	$1,390,000+	2022-10-14	Undisclosed	3	1	2	2.5	771.0	LJ Hooker Manuka	36-walker-crescent-griffith-act-2603
63511	House	2022-09-01	Contact Agent	2022-09-20	$1,251,099	4	3	2		401.0	Smile Elite	5-whitechapel-avenue-schofields-nsw-2762
63512	House	2022-09-02	Auction 24 September 3.45pm	2022-09-24	$890,000	2	1	0		1159.0	Ward Estate Agents	12-malbon-street-bungendore-nsw-2621
63513	House	2022-09-02	$1,150,000 - $1,200,000	2023-03-16	Undisclosed	5	2	2		1200.0	LJ Hooker Gungahlin	39-middle-street-murrumbateman-nsw-2582
63516	Apartment	2022-09-02	$220,000	2022-11-04	$220,000	2	1	1			Henley Property - Cooma	12-24-mittagang-road-cooma-nsw-2630
63518	House	2022-09-02	Auction 21/09/2022	2022-09-19	Undisclosed	4	2	2	3.5	480.7	Ray White Canberra	65-kalianna-street-harrison-act-2914
63520	House	2022-09-02	Auction 23/09/2022	2022-09-23	Undisclosed	4	2	1	0.0	1077.0	Ray White Canberra	22-westgarth-street-oconnor-act-2602
